recipe_id,calories,carbohydrates,cholesterol,cook_time,cuisine,description,fat,fiber,full_name,image_url,ingredients,instructions,potassium,protein,saturated_fat,serving,sodium,sugar,title,dairy_free,gluten_free,meal_type,ingredient_names,diet_type
188,98.0,3.0,,10.0,American,"This , will be your new favorite breakfast recipe. Made with juicy blueberries, sweet pancake syrup and flavorful pork and chicken, this sweet and savory combo is the perfect addition to any plate.",5.0,,Blueberry Breakfast Sausage,https://ohsnapmacros.com/wp-content/uploads/2022/12/ezgif.com-gif-maker-42-300x300.jpg,"[{""amount"": ""1"", ""unit"": ""lb."", ""name"": ""pork sausage"", ""notes"": null}, {""amount"": ""1"", ""unit"": ""lb."", ""name"": null, ""notes"": ""96% lean""}, {""amount"": ""1"", ""unit"": ""cup "", ""name"": ""fresh blueberries"", ""notes"": null}, {""amount"": ""1/4"", ""unit"": ""cup"", ""name"": null, ""notes"": null}, {""amount"": ""1/2"", ""unit"": ""tsp."", ""name"": ""dried thyme"", ""notes"": null}, {""amount"": ""1/2"", ""unit"": ""Tbsp."", ""name"": ""olive oil"", ""notes"": null}]","Add pork, chicken, syrup and thyme to a large bowl and mix well. Use your hands to get the pork and chicken to combine.,Place your blueberries in a microwave safe bowl and microwave for 30 seconds to soften. Slightly mash the blueberries with the back of a fork. You don't want to turn this into a liquid but more of a very chunky sauce.,Fold blueberries carefully into the pork and chicken sausage mixture.,Heat a large cast iron skillet over medium heat and add 1/2 Tbsp. olive oil. Once the oil is hot, add the sausage patties. Use a 1/4 cup measuring cup (2 oz. each) and add the sausage into the pan. Flatten into patties. You should be able to fit approximately 6 patties in a large cast iron.,Cook on both sides until the sausages are cooked through. Approximately 5 minutes on each side. Once cooked, remove and set aside. Begin your next batch. Repeat. Recipe makes approximately 17-18 sausages.",,10.0,,18.0,197.0,,Blueberry Breakfast Sausage,1,1,breakfast,"[""pork sausage"", ""fresh blueberries"", ""dried thyme"", ""olive oil""]",Omnivorous
15891,146.0,4.0,59.0,30.0,American,"This , is the ideal game day recipe. Ingulgent melted cheese, spicy buffalo sauce, and tender chicken all in one delicious dip. Made with lighter ingredients, this high protein appetizer is sure to please. ",6.0,0.1,High-Protein Baked Greek Yogurt Buffalo Chicken Dip,https://ohsnapmacros.com/wp-content/uploads/2022/09/oshnapmacros-44-300x300.jpg,"[{""amount"": ""1.5"", ""unit"": ""lbs."", ""name"": ""boneless skinless chicken breast "", ""notes"": null}, {""amount"": ""1 "", ""unit"": ""cup"", ""name"": ""chicken broth "", ""notes"": null}, {""amount"": null, ""unit"": null, ""name"": ""cooked chicken"", ""notes"": null}, {""amount"": ""8"", ""unit"": ""oz. "", ""name"": ""1/3 less fat cream cheese"", ""notes"": null}, {""amount"": ""3"", ""unit"": ""oz."", ""name"": ""shredded cheddar cheese, "", ""notes"": ""1 oz. on top ""}, {""amount"": ""1/2"", ""unit"": ""cup"", ""name"": ""non-fat plain Greek yogurt "", ""notes"": ""113 grams""}, {""amount"": ""1/2"", ""unit"": ""cup"", ""name"": ""Frank's Red Hot Sauce"", ""notes"": null}, {""amount"": ""2"", ""unit"": ""Tbsp."", ""name"": ""lite maple syrup "", ""notes"": null}, {""amount"": ""1"", ""unit"": ""tsp. "", ""name"": ""garlic powder"", ""notes"": null}, {""amount"": ""1/2"", ""unit"": ""tsp."", ""name"": ""onion powder"", ""notes"": null}, {""amount"": null, ""unit"": null, ""name"": ""green onions"", ""notes"": ""chopped, for garnish""}]","Place the chicken and the chicken broth in the instant pot and pressure cook for 10 minutes, if fresh. If frozen, 12 minutes. ,Remove and shred. ,Pre heat the oven to 350 degrees Fahrenheit. ,In a large mixing bowl, mix together 2 oz. cheddar cheese, Greek yogurt, cream cheese, buffalo sauce, maple syrup, seasonings and chicken. ,Add the mixture to a cast-iron or oven-safe pan.  ,Sprinkle the top with the remaining 1 oz. of shredded cheddar cheese. ,Bake at 350 degrees Fahrenheit for 30 minutes until the edges are bubbling and the center is hot. ,Remove from the oven and serve immediately with chips, vegetables, crackers or eat it by itself. ",367.0,19.0,3.0,10.0,550.0,3.0,Greek Yogurt Buffalo Chicken Dip,0,1,snack,"[""boneless skinless chicken breast "", ""chicken broth "", ""cooked chicken"", ""1/3 less fat cream cheese"", ""shredded cheddar cheese, "", ""non-fat plain Greek yogurt "", ""Frank's Red Hot Sauce"", ""lite maple syrup "", ""garlic powder"", ""onion powder"", ""green onions""]",Omnivorous
15965,291.0,17.0,109.0,20.0,American,"This , is sticky, sweet and better than takeout. It's ready in under 30 minutes with minimal ingredients and delicious paired with rice or steamed vegetables. ",7.0,0.2,Air Fryer Teriyaki Chicken,https://ohsnapmacros.com/wp-content/uploads/2022/09/oshnapmacros-83-300x300.jpg,"[{""amount"": ""1.5"", ""unit"": ""lbs."", ""name"": ""Chicken Breast"", ""notes"": ""chopped""}, {""amount"": ""2/3"", ""unit"": ""cup"", ""name"": null, ""notes"": null}, {""amount"": ""2"", ""unit"": ""tsp. "", ""name"": null, ""notes"": null}, {""amount"": ""1/4"", ""unit"": ""cup"", ""name"": ""Lite Maple Syrup"", ""notes"": null}, {""amount"": ""1"", ""unit"": ""tsp."", ""name"": ""Garlic Powder"", ""notes"": null}, {""amount"": ""1/2"", ""unit"": ""tsp."", ""name"": ""Ground Ginger"", ""notes"": null}, {""amount"": ""1-2"", ""unit"": ""tsp."", ""name"": ""Tapioca Flour"", ""notes"": null}, {""amount"": ""1"", ""unit"": ""tbsp."", ""name"": ""Water"", ""notes"": null}, {""amount"": null, ""unit"": null, ""name"": ""Green Onions"", ""notes"": ""Chopped""}, {""amount"": null, ""unit"": null, ""name"": ""Toasted Sesame Seeds"", ""notes"": null}]","Preheat the air fryer. ,Chop the chicken into bite size pieces. Season with salt and pepper. ,Add the chicken to the basket of the air fryer and cook at 380 degrees Fahrenheit for 10 minutes until cooked through. ,In a mason jar or sealed top container, add all the sauce ingredients except the tapioca flour and water and shake well the combine. ,Add the sauce to a pan over medium heat on the stove. ,While the sauce begins to simmer add tapioca flour and water to a small bowl and mix together well. Add the the sauce and bring to a boil. ,Whisk the sauce while it boils to thicken. Once the sauce has thickened add the cooked chicken from the air fryer. ,Mix together and top with chopped green onions and toasted sesame seeds. ,Serve with rice or steamed vegetables. ",653.0,36.0,1.0,4.0,1129.0,5.0,Air Fryer Teriyaki Chicken,1,1,dinner,"[""Chicken Breast"", ""Lite Maple Syrup"", ""Garlic Powder"", ""Ground Ginger"", ""Tapioca Flour"", ""Water"", ""Green Onions"", ""Toasted Sesame Seeds""]",Omnivorous
16038,357.0,33.0,112.0,6.0,American,"Dinner tonight just got easier with this,. A deliciously rich and easy dinner in less than 30 minutes. With juicy chicken, a creamy sauce and classic egg noodles, this lightened version of a traditional beef stroganoff is guaranteed to please.",8.0,2.0,Instant Pot Chicken Stroganoff with Greek Yogurt,https://ohsnapmacros.com/wp-content/uploads/2022/09/chickenstroganoff-300x300.jpg,"[{""amount"": ""1.5"", ""unit"": ""lbs."", ""name"": ""boneless skinless chicken breast"", ""notes"": ""sliced""}, {""amount"": ""8 "", ""unit"": ""oz."", ""name"": ""egg noodles"", ""notes"": null}, {""amount"": ""2 1/4 "", ""unit"": ""cup"", ""name"": ""chicken broth"", ""notes"": null}, {""amount"": ""8 "", ""unit"": ""oz. "", ""name"": ""baby bella mushrooms"", ""notes"": ""sliced""}, {""amount"": ""2"", ""unit"": ""tsp."", ""name"": ""dijon mustard "", ""notes"": null}, {""amount"": ""3"", ""unit"": ""oz."", ""name"": ""1/3 less fat cream cheese"", ""notes"": null}, {""amount"": ""1"", ""unit"": ""cup "", ""name"": null, ""notes"": ""226 grams""}, {""amount"": ""2"", ""unit"": ""cups"", ""name"": ""spinach (optional)"", ""notes"": ""chopped""}, {""amount"": ""1"", ""unit"": ""tsp. "", ""name"": ""salt"", ""notes"": null}, {""amount"": ""1"", ""unit"": ""tsp."", ""name"": ""smoked paprika "", ""notes"": null}, {""amount"": ""1"", ""unit"": ""tsp."", ""name"": ""garlic powder"", ""notes"": null}, {""amount"": ""1/2"", ""unit"": ""tsp."", ""name"": ""black pepper"", ""notes"": null}]","Slice the chicken into strips or chunks and place at the bottom of the instant pot. ,Top the chicken with salt, paprika, garlic powder and pepper. ,Add the sliced mushrooms, mustard, egg noodles and chicken broth to the instant pot over the chicken. ,Seal the instant pot and pressure cook for 6 minutes. Quick release when it is done cooking. ,Once done cooking, mix together well to combine. ,Add the cream cheese and Greek yogurt to the instant pot and mix together until fully combined. ,Lastly, add the chopped spinach and mix together until it has wilted. ,Serve and enjoy. ",936.0,38.0,3.0,6.0,578.0,4.0,Instant Pot Chicken Stroganoff,0,0,dinner,"[""boneless skinless chicken breast"", ""egg noodles"", ""chicken broth"", ""baby bella mushrooms"", ""dijon mustard "", ""1/3 less fat cream cheese"", ""spinach (optional)"", ""salt"", ""smoked paprika "", ""garlic powder"", ""black pepper""]",Omnivorous
16113,260.0,23.0,56.0,20.0,American,"Cold weather calls for hearty soup like this delicious and easy ,. Loaded with beef, potatoes, and vegetables, it's the perfect meal when you're craving lots of flavor but are short on time. ",7.0,5.0,Hearty Cowboy Soup Recipe (easy and fast),https://ohsnapmacros.com/wp-content/uploads/2022/09/OHSNAPMACROS-1029-300x300.jpg,"[{""amount"": ""2"", ""unit"": ""lbs."", ""name"": ""lean ground beef"", ""notes"": ""96/4""}, {""amount"": ""1/2"", ""unit"": null, ""name"": ""medium onion"", ""notes"": ""chopped""}, {""amount"": ""2"", ""unit"": ""cloves"", ""name"": ""garlic"", ""notes"": ""minced""}, {""amount"": ""1"", ""unit"": ""lbs."", ""name"": ""russet potatoes"", ""notes"": ""chopped""}, {""amount"": ""10"", ""unit"": ""oz."", ""name"": ""Rotel"", ""notes"": ""10 oz. can Rotel""}, {""amount"": ""15"", ""unit"": ""oz. "", ""name"": ""Ranch Style Beans"", ""notes"": null}, {""amount"": ""12"", ""unit"": ""oz. "", ""name"": null, ""notes"": ""12 oz. of frozen mixed vegetables""}, {""amount"": ""1"", ""unit"": null, ""name"": ""jalapeno"", ""notes"": ""seeds removed and chopped (optional)""}, {""amount"": ""5"", ""unit"": ""cups"", ""name"": ""Beef Broth"", ""notes"": null}, {""amount"": ""1"", ""unit"": ""Tbsp."", ""name"": ""olive oil"", ""notes"": null}, {""amount"": ""2"", ""unit"": ""tsp."", ""name"": ""chili powder"", ""notes"": null}, {""amount"": ""2"", ""unit"": ""tsp."", ""name"": ""ground cumin"", ""notes"": null}, {""amount"": ""1/2"", ""unit"": ""tsp."", ""name"": ""salt"", ""notes"": null}, {""amount"": ""1/4"", ""unit"": ""tsp."", ""name"": ""pepper"", ""notes"": null}]","Over medium heat add 1 Tbsp. olive oil to the large dutch oven or soup pot. Once hot add the ground beef and break into pieces to cook. Cook over medium until almost completely cooked and no longer pink. Add onions and garlic to the pot and simmer until the onions begin to turn translucent. Stir often so the bottom does not burn.,Add chili powder, cumin, salt and pepper to the meat and mix together well the combine. Add all the remaining ingredients, stir to combine and bring to a boil.,Once boiling lower the heat to simmer and cook covered for 20 minutes until the potatoes are fork tender.",937.0,26.0,3.0,10.0,949.0,4.0,Cowboy Soup,1,1,dinner,"[""lean ground beef"", ""medium onion"", ""garlic"", ""russet potatoes"", ""Rotel"", ""Ranch Style Beans"", ""jalapeno"", ""Beef Broth"", ""olive oil"", ""chili powder"", ""ground cumin"", ""salt"", ""pepper""]",Omnivorous
16131,237.0,38.0,,35.0,American,"This , combines the best fall flavors: pumpkin, brown sugar and pumpkin pie spice. It's easy, delicious and the perfect breakfast for holidays or a lazy Saturday morning. Made with basic ingredients and protein packed from egg whites, this is one breakfast casserole you don't want to miss.",4.0,4.0,Pumpkin French Toast Casserole with  Streusel Topping,https://ohsnapmacros.com/wp-content/uploads/2022/09/OHSNAPMACROS-900-300x300.jpg,"[{""amount"": ""10"", ""unit"": ""pieces"", ""name"": ""Dave\u2019s Killer White Bread Done Right"", ""notes"": null}, {""amount"": ""16"", ""unit"": ""oz."", ""name"": ""liquid egg whites"", ""notes"": null}, {""amount"": ""1"", ""unit"": ""cup"", ""name"": ""pumpkin puree"", ""notes"": ""260g""}, {""amount"": ""1"", ""unit"": ""tsp."", ""name"": ""vanilla extract"", ""notes"": null}, {""amount"": ""2"", ""unit"": ""tsp."", ""name"": ""pumpkin pie spice"", ""notes"": null}, {""amount"": ""2"", ""unit"": ""Tbsp."", ""name"": ""light brown sugar"", ""notes"": ""+1 Tbsp. if you like it extra sweet""}, {""amount"": ""1/2"", ""unit"": ""cup"", ""name"": null, ""notes"": ""40g""}, {""amount"": ""1"", ""unit"": ""Tbsp."", ""name"": ""light brown sugar"", ""notes"": null}, {""amount"": ""1"", ""unit"": ""Tbsp."", ""name"": ""unsalted butter"", ""notes"": null}]","Pre-heat the oven to 350 degrees Fahrenheit. Prep a 9 x 13 inch baking dish with a lot of nonstick spray. The more the merrier so that it doesn't stick.,Cut the bread into bite-size pieces, leaving the crusts on, and place along the bottom of the baking dish.,Combine eggs, vanilla, brown sugar, pumpkin pie spice in a bowl. Whisk together to combine. Add pumpkin puree and whisk until fully combined. Pour on top of the bread.,Add oats, butter and brown sugar to a small bowl. Microwave until the butter has melted, approximately 30-60 seconds, and mix together. It will be chunky. Evenly sprinkle on top of the casserole.,Bake the pumpkin French toast casserole at 350 degrees Fahrenheit for 35 minutes or until a toothpick comes out clean. Broil the top if needed.,Cut into 8 equal squares and serve. Top with protein frosting, maple syrup and a side of sausage.",,11.0,,8.0,339.0,,Pumpkin French Toast Casserole,0,0,breakfast,"[""Dave\u2019s Killer White Bread Done Right"", ""liquid egg whites"", ""pumpkin puree"", ""vanilla extract"", ""pumpkin pie spice"", ""light brown sugar"", ""light brown sugar"", ""unsalted butter""]",Vegan
16444,114.0,11.0,34.0,13.0,American,"These ,have the perfect amount of lemon and white chocolate to make you come back for more. They come together quick using only one bowl and no mixer necessary. Just sweet enough to make a great snack any time of the day. ",6.0,2.0,Lemon Blondies,https://ohsnapmacros.com/wp-content/uploads/2022/10/oshnapmacros-175-300x300.jpg,"[{""amount"": ""2.5"", ""unit"": ""tbsp."", ""name"": ""coconut oil"", ""notes"": ""melted""}, {""amount"": ""2"", ""unit"": null, ""name"": ""eggs"", ""notes"": ""room temperature ""}, {""amount"": ""1 "", ""unit"": ""tsp. "", ""name"": ""vanilla extract "", ""notes"": null}, {""amount"": ""2.5"", ""unit"": ""tsp."", ""name"": ""lemon extract "", ""notes"": null}, {""amount"": ""4"", ""unit"": ""tbsp. "", ""name"": null, ""notes"": null}, {""amount"": ""1/4"", ""unit"": ""cup"", ""name"": null, ""notes"": null}, {""amount"": ""1/2 "", ""unit"": ""tsp."", ""name"": ""salt "", ""notes"": null}, {""amount"": ""1 1/4"", ""unit"": ""cups"", ""name"": null, ""notes"": ""150g ""}, {""amount"": ""2"", ""unit"": ""tbsp. "", ""name"": null, ""notes"": ""12g""}, {""amount"": ""1/2"", ""unit"": ""tsp."", ""name"": ""baking powder"", ""notes"": null}, {""amount"": ""1/2 "", ""unit"": ""cup"", ""name"": null, ""notes"": null}]","Preheat the oven to 300 degrees Fahrenheit. Line a 8 x 8 inch baking pan with parchment paper overlapping the sides. This will help remove the blondies from the pan when done baking. ,Melt the coconut oil and add to a mixing bowl. Add room temperature eggs, vanilla and lemon extract, almond milk and whisk together to combine. ,Add sugar and salt to the wet ingredients and mix together well until there are no clumps from the sugar. ,Directly to the bowl or wet ingredients add oat flour, protein powder, baking powder and mix together until fully combined. ,Fold in the white chocolate chips and pour the batter into the parchment lined baking pan. Using a spatula spread the mixture so it fully covers the pan. ,Bake for 13 minutes. Let the blondies cool in the pan prior to cutting into 12 equal squares. Top with fresh lemon slices or candied lemons for little extra pop of lemon. ",75.0,4.0,1.0,12.0,127.0,1.0,Lemon Blondies,0,0,unknown,"[""coconut oil"", ""eggs"", ""vanilla extract "", ""lemon extract "", ""salt "", ""baking powder""]",Vegetarian
16542,120.0,14.0,13.0,10.0,American,"This , is creamy, flavorful and loaded with protein. This recipe uses blended and whole white beans mixed with Greek yogurt for a deliciously hearty snack. Ready in minutes you'll have the perfect spicy bean dip to pair with your favorite chips, crackers and vegetables. Serve this at your next party or eat throughout the week as your meal prep snack. ",4.0,4.0,White Bean Buffalo Dip,https://ohsnapmacros.com/wp-content/uploads/2022/10/oshnapmacros-185-300x300.jpg,"[{""amount"": ""2"", ""unit"": ""cans"", ""name"": ""Great Northern White Beans "", ""notes"": ""15 oz. each""}, {""amount"": ""4"", ""unit"": ""oz."", ""name"": ""1/3 Less Fat Cream Cheese"", ""notes"": null}, {""amount"": ""1/2"", ""unit"": ""cup"", ""name"": ""Franks Red Hot Sauce "", ""notes"": null}, {""amount"": ""1/2"", ""unit"": ""cup"", ""name"": ""Nonfat Fage Greek Yogurt "", ""notes"": ""113g""}, {""amount"": ""2"", ""unit"": ""cloves"", ""name"": ""garlic"", ""notes"": null}, {""amount"": ""1/4"", ""unit"": ""cup"", ""name"": ""Part Skim Mozzarella Cheese"", ""notes"": ""shredded""}, {""amount"": ""1/4"", ""unit"": ""cup"", ""name"": ""Cheddar Cheese"", ""notes"": ""shredded""}, {""amount"": ""3"", ""unit"": null, ""name"": ""green onions "", ""notes"": ""diced""}]","Rinse and drain your beans leaving the 2 cans separate. One can you will blend and the other will go in whole. ,To a food processor or high speed blender add one can of beans, cream cheese, greek yogurt, garlic and hot sauce. Blend until there are no longer any clumps and the beans are smooth. ,Add the smooth bean mixture to a pan over medium. Add the can of whole beans. Once the mixture is hot and bubbly add the cheese. Stir in to melt completely. ,Finally, add the green onions, mix together and serve. ",281.0,6.0,2.0,10.0,382.0,2.0,White Bean Buffalo Dip,0,1,snack,"[""Great Northern White Beans "", ""1/3 Less Fat Cream Cheese"", ""Franks Red Hot Sauce "", ""Nonfat Fage Greek Yogurt "", ""garlic"", ""Part Skim Mozzarella Cheese"", ""Cheddar Cheese"", ""green onions ""]",Vegetarian
16592,148.0,9.0,41.0,4.0,Mexican,"These , put those frozen mini tacos to shame. Filled with juicy, flavorful chicken, shredded cheese and a crunchy shell, this easy appetizer comes with homemade taco seasoning and ricotta cilantro crema. A great way to please the crowd, this easy appetizer is ready in less than 30 minutes.",6.0,1.0,Air Fryer Mini Tacos with Chicken and Ricotta Crema,https://ohsnapmacros.com/wp-content/uploads/2022/10/airfryerminitacos-300x300.jpg,"[{""amount"": ""1"", ""unit"": ""lbs."", ""name"": ""chicken breast"", ""notes"": ""boneless, skinless""}, {""amount"": ""12"", ""unit"": null, ""name"": ""Yellow Corn Tortillas"", ""notes"": ""Mission 25 Calories""}, {""amount"": ""1.5"", ""unit"": ""cup"", ""name"": ""Mexican Cheese Blend"", ""notes"": ""shredded""}, {""amount"": null, ""unit"": null, ""name"": null, ""notes"": null}, {""amount"": ""1"", ""unit"": ""tsp"", ""name"": ""salt"", ""notes"": null}, {""amount"": ""1"", ""unit"": ""tsp"", ""name"": ""onion powder"", ""notes"": null}, {""amount"": ""1"", ""unit"": ""tsp"", ""name"": ""garlic powder"", ""notes"": null}, {""amount"": ""2"", ""unit"": ""tsp"", ""name"": ""paprika"", ""notes"": null}, {""amount"": ""1"", ""unit"": ""tbsp"", ""name"": ""chili powder"", ""notes"": null}, {""amount"": ""1.5"", ""unit"": ""tbsp"", ""name"": ""cumin"", ""notes"": null}, {""amount"": ""1/4"", ""unit"": ""cup"", ""name"": ""water"", ""notes"": null}, {""amount"": ""1/2"", ""unit"": ""cup"", ""name"": ""Part Skim Ricotta Cheese"", ""notes"": ""124g""}, {""amount"": ""1/4"", ""unit"": ""cup"", ""name"": ""Fage Nonfat Greek Yogurt "", ""notes"": ""56g""}, {""amount"": ""1"", ""unit"": ""clove"", ""name"": ""garlic"", ""notes"": null}, {""amount"": ""1/2"", ""unit"": ""tsp"", ""name"": ""salt"", ""notes"": null}, {""amount"": ""1/2"", ""unit"": ""tbsp"", ""name"": ""lime juice"", ""notes"": null}, {""amount"": ""1/2 "", ""unit"": ""cup"", ""name"": ""cilantro "", ""notes"": null}]","Pre heat the air fryer. ,Bring a pot of water to a boil and add the raw chicken breast. Boil for 15-20 minutes until no longer pink. Once cooked through, shred with a fork and add to a mixing bowl. ,While the chicken is boiling prep your sauce. Add all the ingredients to a high speed blender and blend until it is completely creamy and no chunks remain. Set aside for topping your tacos. ,Remove the chicken from the water and shred with forks. Add the shredded chicken to a mixing bowl. Top the chicken the taco seasoning and 1/4 cup of water. Mix together well so all of the chicken is covered in seasoning. ,Wet a paper towel and wrap the corn tortillas with the towel. Microwave for 20 seconds to soften so they’re easy to work with. ,Spray the air fryer with cooking spray. Fill each taco with cheese and chicken – see notes. Fold in half and add to the air fryer pan laying them inside. Spray the tops of the tortillas with cooking spray. Repeat for as many tacos that can fit in the air fryer. Note, you may need to work in batches depending on the size of your air fryer. ,Cook the tacos in the air fryer at 400 degrees Fahrenheit for 4 minutes. Remove and top with crema, chopped red onions and cilantro. ,Serving size per nutrition facts is 1 taco. ",216.0,14.0,3.0,12.0,454.0,1.0,Air Fryer Mini Tacos,0,0,dinner,"[""chicken breast"", ""Yellow Corn Tortillas"", ""Mexican Cheese Blend"", ""salt"", ""onion powder"", ""garlic powder"", ""paprika"", ""chili powder"", ""cumin"", ""water"", ""Part Skim Ricotta Cheese"", ""Fage Nonfat Greek Yogurt "", ""garlic"", ""salt"", ""lime juice"", ""cilantro ""]",Omnivorous
16801,98.0,7.0,26.0,10.0,American,"These , are the perfect combination of easy and delicious. Using one bowl you’ll have delicious chocolate cookies, under 100 calories, in less than 20 minutes. ",7.0,3.0,Double Chocolate Protein Cookies,https://ohsnapmacros.com/wp-content/uploads/2022/10/oshnapmacros-272-300x300.jpg,"[{""amount"": ""1/2"", ""unit"": ""cup"", ""name"": ""unsalted butter"", ""notes"": ""room temp""}, {""amount"": ""1/2"", ""unit"": ""cup"", ""name"": ""Swerve Brown Sugar"", ""notes"": null}, {""amount"": ""1/3"", ""unit"": ""cup"", ""name"": ""Swerve Granular Sugar"", ""notes"": null}, {""amount"": ""1"", ""unit"": null, ""name"": ""egg"", ""notes"": ""preferably room temp""}, {""amount"": ""2"", ""unit"": ""tsp."", ""name"": ""vanilla extract"", ""notes"": null}, {""amount"": ""3/4"", ""unit"": ""cup"", ""name"": ""Oat Flour "", ""notes"": ""90g""}, {""amount"": ""1"", ""unit"": ""scoop"", ""name"": null, ""notes"": ""31g""}, {""amount"": ""1/3 "", ""unit"": ""cup"", ""name"": ""Cocoa Powder"", ""notes"": ""unsweetened""}, {""amount"": ""1/2"", ""unit"": ""tsp."", ""name"": ""baking soda"", ""notes"": null}, {""amount"": ""1/2"", ""unit"": ""tsp."", ""name"": ""salt"", ""notes"": null}, {""amount"": ""1/2"", ""unit"": ""cup"", ""name"": ""dark chocolate chips "", ""notes"": ""using Lilys""}]","Preheat the oven to 375 degrees Fahrenheit. Line a baking pan with parchment paper. ,In a mixing bowl, add room temperature butter and sugar. With a hand mixer beat the sugar and butter until fully combined. This may take up to 5 minutes until you have a good combination of the two. Be sure there are no chunks of butter left. ,Add the egg and vanilla and mix until combined. ,Then, in the same bowl, add in the oat flour, baking soda, salt, cocoa and protein powder. Mix with a hand mixer to combine. ,Fold in the chocolate chips. ,Using a ,, or 1.5 Tbsp., scoop batter into round 18 cookies and place on the parchment lined baking sheet approximately 2 inches apart.  Do not flatten. You will need to work in batches. Bake for 9-10 minutes. Remove and repeat with remaining batter.,Allow cookies to cool on pan for 5 to 10 minutes before transferring to a cooling rack. If you want extra gewy cookies allow to cool for a few minutes and enjoy your double chocolate protein cookies immediately. ",84.0,3.0,4.0,18.0,100.0,0.2,Double Chocolate Protein Cookies,0,0,unknown,"[""unsalted butter"", ""Swerve Brown Sugar"", ""Swerve Granular Sugar"", ""egg"", ""vanilla extract"", ""Oat Flour "", ""Cocoa Powder"", ""baking soda"", ""salt"", ""dark chocolate chips ""]",Vegan
